Index,Average infiltration rate,High Low Inf,High Med Low Inf,Area,Contributing area,Drainage Area Ratio,Age,Ponding depth,Inlet condition,Outlet condition,Underdrain,% Residential,% Commercial,% Industrial,% Institutional,% Vegetation_shrub,% Vegetation_tree,% Vegetation_grass,% Vegetation_prairie,% Vegetation_bare,% Vegetation_other,Underlying soil_% sand,Underlying soil_% silt,Underlying soil_% clay,Underlying soil_% urban/disturbed,Underlying soil_% other/undefined,Underlying soil_% organic matter,Evidence of poor infiltration,% of surface with poor infiltration,Vegetation condition,Inlet feature_Curb Cut,Inlet feature_Other,Inlet feature_Overland Flow,Inlet feature_Pipe,Outlet feature_Other,Outlet feature_Overland Flow,Outlet feature_Pipe,Outlet feature_Riser Pipe,Engineered soil depth,Engineered soil _% sand,Engineered soil _% silt,Engineered soil _% clay,Engineered soil _% compost,Engineered soil _% other,Area_PC,LandUse_PC_1,LandUse_PC_2,Veg_PC_1,Veg_PC_2,Soil_PC_1,Soil_PC_2,EngSoil_PC_1,EngSoil_PC_2,PoorInf_PC,Inlet_PC_1,Inlet_PC_2,Outlet_PC_1,Outlet_PC_2
NY_2023_08,14.82658452,High,High,2188,7700,4,11,6,3,3,1,0,0,0,100,90,10,0,0,0,0,66,24,10,0,0,0.3,0,0,3,0,0,0,1,0,0,0,1,7,50,40,10,0,0,0.570319609,1.444004353,0.403568291,1.709069994,2.350715331,0.196534627,1.363364922,1.200084748,-3.033393246,-0.404804717,0.98485969,-1.529803864,1.097769134,-0.114828893
NY_2023_09,21.38595147,High,High,2314,61000,26,10,5,3,3,1,100,0,0,0,95,5,0,0,0,0,26,48,21,0,5,0.6,0,0,3,0,0,0,1,0,0,0,1,24,88,4,2,6,0,0.350698073,-1.750501681,1.027556219,1.691831553,2.373979323,1.309050336,-0.123392321,0.842461289,0.619529511,-0.404804717,0.98485969,-1.529803864,1.097769134,-0.114828893
NY_2023_10,16.4566748,High,High,615,48000,78,11,6,3,2,1,0,0,0,100,95,5,0,0,0,0,41,42,17,0,0,0.5,0,0,3,1,0,0,0,0,0,0,1,24,94,4,2,0,0,0.185944547,1.444004353,0.403568291,1.691831553,2.373979323,1.014409315,0.428445637,0.971009797,0.700583775,-0.404804717,0.98485969,1.529803864,1.097769134,-0.114828893
NY_2023_11,9.483800176,Low,Medium,984,20593,21,6,24,1,3,0,100,0,0,0,100,0,0,0,0,0,26,62,12,0,0,0.9,0,0,3,0,0,0,1,0,1,0,0,24,89,4,2,5,0,0.527260072,-1.750501681,1.027556219,1.674593111,2.397243314,1.414577303,-0.012190651,0.86388604,0.633038555,-0.404804717,0.98485969,-1.529803864,-1.805924273,-0.353112576
NY_2023_12,13.19451817,High,Medium,7700,8400,1,16,6,3,2,1,0,0,0,100,40,10,0,50,0,0,65,18,12,0,5,0.6,0,0,3,0,0,0,1,0,0,0,1,21,50,0,0,25,25,0.250115068,1.444004353,0.403568291,-0.017971013,1.018551933,0.057148723,1.330253803,-0.765144116,0.430213131,-0.404804717,0.98485969,-1.529803864,1.097769134,-0.114828893
NY_2023_13,16.49093148,High,High,436,3297,8,9,3,3,3,0,0,40,0,60,20,10,0,50,0,20,7,2,1,80,10,0.4,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.6621065,0.560574658,-0.865342349,-0.318789301,0.501531397,-2.02952982,-0.810218993,-1.273870942,-0.131969484,-0.404804717,0.98485969,-1.529803864,-0.766373596,5.503291886
NY_2023_14,13.82039236,High,Medium,4318,12877,3,9,8,3,2,1,50,50,0,0,50,0,0,50,0,0,20,8,3,69,0,0.1,0,0,3,1,0,0,0,0,0,0,1,30,79,5,3,13,0,0.437479108,-1.257535783,-0.870576046,-0.052447897,1.065079917,-1.530635605,-0.380096651,0.752718201,0.348819256,-0.404804717,0.98485969,1.529803864,1.097769134,-0.114828893
NY_2023_15,8.9712508,Low,Medium,2535,23700,9,11,6,3,3,1,30,0,0,70,0,0,0,90,0,10,41,42,17,0,0,0.5,0,0,2,0,0,0,1,0,0,0,1,24,82,5,3,10,0,0.494505017,0.485652543,0.59076467,-1.584489847,-0.25916107,1.014409315,0.428445637,0.816992456,0.389346388,-0.404804717,0.98485969,-1.529803864,1.097769134,-0.114828893
NY_2023_16,6.69432712,Low,Low,4334,39000,9,2,12,2,3,1,80,10,0,10,0,0,0,100,0,0,38,41,21,0,0,1.4,0,0,2,0,0,0,1,0,0,0,1,12,88,4,2,6,0,0.359299921,-1.332457898,0.585530973,-1.779488905,-0.267083481,1.157001316,0.32815619,0.842461289,0.619529511,-0.404804717,0.98485969,-1.529803864,1.097769134,-0.114828893
NY_2023_17,16.48054853,High,High,6049,39000,6,2,12,3,2,1,80,10,0,10,0,0,0,100,0,0,38,41,21,0,0,1.4,0,0,2,0,0,0,1,0,0,0,1,24,88,4,2,6,0,0.271562182,-1.332457898,0.585530973,-1.779488905,-0.267083481,1.157001316,0.32815619,0.842461289,0.619529511,-0.404804717,0.98485969,-1.529803864,1.097769134,-0.114828893
